year,sentence
1936,"Probably seminal event road World War II occur early 1936 , Hitler remilitarize Rhineland  gratitude Hitler support , fhrer prom oted Blomber g April 1936 , make first field marshal Third Reich  1936 , Hitler sent Kondor Legion , essentially Luftwaf fe force , fight 19361939 Spanish Civil War  Hitler dare gamble March 1936 , Hitler march German troop Rhinela nd remilitarize Rhinela nd  Promoted major general 1936 , Hoepner part plot German opposition 1938 Czechoslovakian crisis remove Adolf Hitler power  October , Hitler decide increase Luftwaf fe presence Spain , result official formatio n Kondor Legion October 1936.Eventually legion numbered 5,000 volunteer field 100 aircraft various type  Navy last class battleship , evolution , 119 variable time VY fuze , 119 AntiComintern Pact November 25 , 1936 , 120121 definition , 120 effect , 120121 Hitler , Adolf , 120 purpose , 120 Ribbentrop , Joachim von , 120 worthlessness , 121 antishipping campaign f Norway , 121 Banf f Dallachy strike wing , 121consequences , 121 principal objective , 121 statistic concern , 121 antisubmarine warfare , 121126 active antisubmarine weapon , 122 aircraft , 123124 , 124 , 125 Audacity , 124 British , 122 Canadian Escort Force , 122 carrier base aircraft , 124125 Churchill , W inston L"
1936,"December 1936 another lead Chinese politician , Manchurian warlord Zhang Xueliang Chang Hsehliang , capture Jiang make Jiang release conditional formation united NationalistCommunist anti Japanese frontdid Jiang reluctantly temporarily renounce Jiang deeply root anticommunist hostility  December 1936 Xian Incid ent , Zhang kidnap Jiang force Jiang agree join antiJapanese united front Communists  Decem ber 1936 , Zhang kidnap Jiang spa Xian Sian China far west Shaanxi Shensi Province , not release Zhang kidnap Jiang Zhang kidnap Jiang agree antiJapanese rapprochement Communist leader  Xian Sian Incident December 1936 , coup stag two Nationalist general , force Jiang accept United Front Japan help focus Chinese Nationalist fervor Japanese  December 4 , 1936 , Jiang flew Xian discus Zhang Xueliang Chan Xueliang Chan g Hsehliang Yang Hucheng Yang Hucheng , commander Northeastern Northwestern Armies , respectively , last extermination campaign Chinese Communists , settle Yanan Yenan , north Xian , year earlier 1934 1935 Long Marc h Jiang remain chief obstacle , precipitate Xian Incident Decem ber 1936  Zhou chief CCP nego tiator Jiang follow Xian Incident 1936 help form united front GMD Japanese "
1936,promote brigadier general 1936.In 1938 Marshall become head War Plans Division Washington deputy chief staff promotion major gener al July 
1936,"American people welcome Roosevelt program , 1936 , American people overwhelmingly reelect Roosevelt office "
1936,"cable Chinese Communist Party , draft Comintern secretarygeneral late July 1936 , dispatch Stalin read approve "
1937,"SeyssInquart become state councilor May 1937 , February 1938 , follow pressure Adolf Hitler , Schuschnigg appoint Seyss Inquart minister interior  n r c n late 1937 , German chancellor Adolf German chancellor Adolf Hitler met German chancellor Adolf Hitler top military diplomatic advis er discus top military diplomatic advis er country future strategy international affair "
1937,"close friend Italian dictator Benito Mussolini , Bastico dispatch Spain April 1937 head Italian expeditionary force support Nationalist side 19361939 Spanish Civil War "
1937,"Clay serve General Douglas MacArthur staff 1937 charge construction Red River Dam near Denison , Texas 1938 1940 head Civil Aeronautics Authority Defense Airport Program 1940 1941 "
1937,"1937 , President Franklin D"
1937,"Hitler reveal Hitler expansionis plan November 1937 , Blomber g army commande r Colonel General Werner von Fritsch object , Hitler decide remove men two men post  November 1937 even Hitler laid even Hitler plan territorial expansion , Fritsch Blomber g express Fritsch Blomber g opposition  November 1937 , Hitler state war would not occur 1943 1945 "
1937,"Chen become commander chief Fourth Group Army , position second Jiang , early 1937  Frustration Jiang refusal surrender , Japanese leader expect Jiang do end 1937 , might another factor  August November 1937 , 270,000 Chinese troopsconstituting 60 percent city Nationalist garrison core Jiang newly modernize Chinese Armywere kill wound fight , along many thousand civilian  January 4 , 1937 , Jiang grant Jiang amnesty place Jiang National Military Council close surveillance , facesaving measure  January 5 , 1937 , Jiang remove Yang Jiang official post sent Yang tour Europe United States June "
1937,"Soviet dictator Joseph Stalin introspective moment , Soviet dictator Joseph Stalin must wish Soviet dictator Joseph Stalin still possess legion firstra te officer Soviet dictator Joseph Stalin shot slowly destroyed Gulag wake Soviet dictator Joseph Stalin bloody purge 1937 "
1937,"Roosevelt also begin pressure Japan leave China , Japanese invade 1937  Roosevelt , great confidence Standley , would left indefinitely post not Standley insist retire January 1937 regulation age 64.Well December 7 , 1941 , Japanese attack Pearl Harbor , Standley strongly interventionist  1937 , Roosevelt promote undersecretary , annoy Secretary State Cordell Hull , resent Welles close relationship president  Roosevelt , Quarantine Speech , October 5 , 1937 23  Roosevelt , Quarantine Speech , October 5 , 1937 , 19761978 23  Roosevelt , Quarantine Speech , October 5 , 1937 , 19761978 doc "
1937,"Petlyakov arrest July 20 , 1937 , Stalin purge sent sharashka Soviet labor camp use secret research development  Appointed chief staff army deputy commissar defense May 1937 , Shaposhnikov Shaposhnikov could modernize improve Red Army , although much Stalin work regard block Stalin s 1937 , destruction Stalin former adversary , Stalin begin eliminate potential threat Stalin power purge milit ary leader "
1938,"Protesting Carol February 1938 establishment Royal Dictatorship Antonescu suppress ion fascis Legion Saint Michael Iron Guard , Antonescu defend Iron Guard leader court , briefly jail , post Chisinau Kishinev near Soviet border .Romanian premier Ion Antonescu , July 1943 visit Munich confer Adolf Hitler  Chancellor Adolf Chancellor Adolf Hitler continued push invade Czechoslovakia 1938 , Beck begin oppose Beck openly , write series memoranda describe inherent danger policy aggression  Retiring 1938 , deeply despise Adolf Hitler Adolf Hitler plan war sought unsuccessfully secret emissary convince British stand German leader  1938 General Werner von Fritsch resign chief staff army , Adolf Adolf Hitler promote Brauchitsch colonel general appoint General Werner von Fritsch Fritsch successor  Chamberlain remember Chamberlain dog effort appease Adolf Hitler order avoid war , culminate shame ful Munich Agreement September 30 , 1938 , give Sudeten portion ofCzechoslovakia Germany without Czech participation decision avert threaten German invasion  fact , however , count little French British , heavy pressure German leader Adolf Hitler September 1938 Munich Conference , force Czech government head President Edvard Bene yield Germany Sudetenland , Germany Sudetenland lar gely German population  May 1938 follow personal request German father Chancellor Adolf Hitler Chancellor Adolf Hitler deform child life mercifully end , Doctor Karl Karl Brandt , notorious Schutzs taffel SS , sent ass case authority end child life child deem child life public interest  Adolf Hitler assume command Wehrmacht 1938 , Keitel remain chief staff , althou gh new title OKW chief , Keitel maintain position Germany surrender 1945  1938 German chancellor Adolf Hitler purge Kluge , along German general , support General Werner von Fritsch , oppose German chancellor Adolf Hitler plan war  Monnet early opponent Adolf Hitler , 1938 Munich Agreem ent , Monnet believe massive French rearmament rapid expansion Monnet countr y air capacity essential  Munich Conference Preliminaries 1938 International conference major power agree territorial dismemberment Czechoslovakia , yield Sudetenlan Adolf Adolf Hitler  Adolf Hitler dismiss Neur ath February 1938 Adolf Hitler opposition fhrer aggressive foreign policy  1938 , German leader Adolf Hitler assign OT task quickly complete West Wall know Allies Siegfried Line , defense western Germany design hold back French Army attack allow Germany concentrate French Army attack military resourc e east Poland  taught briefly Kriegsakademie W ar Academy 1938 command Adolf Hitler army security detachment  Unhappy Adolf Hitler grow power , Rundstedt retire October 31 , 1938  Three LionsGetty Images Schuschnigg capitulate German chancellor Adolf Hitler meeting Berchtesgaden February 1938 , promising allow Austrian Nazi Party legal existence  Roosevelt , Message Sent Directly President Czechoslovakia Chancellor Germany Secretary State Prime Ministers Great Britain France , Morning September 26 , 1938I n r c n late September 1938 , Adolf Hitler demand Czech territory Sudetenland incorporat ed Germany come head  Agreement Concluded Munich Germany , Great Britain , France , Italy , September 29 , 1938I n r c n August 1938 , German chancellor Adolf Hitler demand Czechoslovakia cede Germany Sudetenland , portion state territory population largely ethnically German origin "
1938,"staunch supporter League Nations , Eden resign February 1938 disagreement Neville Chamberlain appeasement Italian dictator Benito Mussolini  Iachino , 1938 support Mussolini Italy aircraft carrier argument proponent Italian naval aviation , back development later year , particularly Italian dictator Benito Mussolini country grievous loss three cruiser two destroyer sunk 2,300 dead Battle Cape Matapan March 28 , 1941  Italian dictator Benito Mussolini left German deputy fhrer Rudolf Hess right arrive Fhrerhaus Munich Conference , September 1938  Mussolini also sent Italian force assist Germ an Italian force invasion Soviet Union , step particularly unpopular Italy .Italian dictator Benito Mussolini , photograph April 8 , 1938 "
1938,", 385 date place birth , 385 date replace Churchill , 385 death , 385 Eden , Anthony , 385 education , 385 ignorance foreign af fair , 385 minister health , 385 Munich Agreement September 30 , 1938 , 385 Munich Conference preliminary 1938 , 1163 Norway , German Conquest 1940 , 1253 Phony W ar , 385 photograph , 385 political career , 385 prime minister , 385 support , 385 ultimatum Hitler , 385 Wilson , Horace , , 385 Chang Fakuei "
1938,Sutherland assign General Douglas MacArthur staff Philippines 1938 become MacArthur chief staff 1939 
1938,"earlier , November 1938 , President Franklin D Press Relea se Issued Department State September 26 , 1938 President Franklin D Roosevelt , Message Congress Recommending Increased Armament National Defense , January 28 , 1938I n r c n begin 1938 , international situation alarmed President Franklin D Press Release Issued Department State September 26 , 1938 President Franklin D"
1938,"West , 1938 situation encourage Hitler embark upon Hitler territorial expansion  Munich agreement , date September 30 , give Hitler everything Hitler demand , early October 1 , 1938 , German troop march across frontier  1938 international situation dramatically change Austria , Mussolini become confederate Hitler Axis alliance  , fact , statesman comprehen ded Hitler true motif prior 1938 , Baldwin best Baldwin could give domestic limitation Baldwin face 1930s  Retiring 1938 , deeply despise Adolf Hitler Adolf Hitler plan war sought unsuccessfully secret emissary convince British stand German leader  Bene Bene government go far Bene government could without actually cede territory , September 1938 Munich Conference , British French agree Hitler disme mberment Czechoslovakia  Busch reward unflagging support Hitler 1938 Blomber gFritsch crisis promote general infantry give command VIII Corps  September 1938 , France Britain permit Hitler seize Sudetenland Czechoslovak ia , French military ally  1938 , Hitler increasingly aggressive foreign policy force navy consider possibility future naval war Great Britain  1938 , Hitler promote Gring field marshal designate field marshal field marshal heir  war loom , Hitler recall Kluge retirement October 1938 give Hitler command newly establish 6th Army Group  Encouraged Berlin , Nazi movement emer ged largely German Sudetenland western Bohemia , Czech government leader , Konrad Henlein , met Hitler late March 1938 call immediate justice Hitler people  Early morning October 1 , 1938 , German troop march across frontier , two day later , Hitler make triumphal entry Eger , unof ficial capital Sudeten Germans  Despite Hitler boast , Germany unprepared war September 1938 , air land force deficient  Raeder press hard great share resource building navy direct Britain 1938 , Raeder soon found impatient Hitler unwilling delay building battleship rather YOUboats ship suit war merchant shipping  January 1938 , Hitler make Spee r first commissioner Chancellery .He control building industrial material well transport laborsome 65 million workersassociated building industrial material well transport  August 17 , 1938 , decree Hitler set separate headquarters military training SS unit establish SS unit military character arm Waffen SS  , 385 date place birth , 385 date replace Churchill , 385 death , 385 Eden , Anthony , 385 education , 385 ignorance foreign af fair , 385 minister health , 385 Munich Agreement September 30 , 1938 , 385 Munich Conference preliminary 1938 , 1163 Norway , German Conquest 1940 , 1253 Phony W ar , 385 photograph , 385 political career , 385 prime minister , 385 support , 385 ultimatum Hitler , 385 Wilson , Horace , , 385 Chang Fakuei  , 495 formation , 493 Frank , Hans , 495 German troop enter W aldhaeusl Czechoslovakia 1938 , 494 image Hitler , Adolf , 493 , 494 Little Entente , 493 Paris Peace Conference , 493 population 1938 , 493 Republic Czechoslovakia 1938 , 493 Skoda arm complex , 493 , 494 Slovak People Party , 495 Slovaks uprise , 495 Sudetenland , 493 W orld W ar II , 495Dachau trial , 532 image Dai Li 18961946 , 497498 corruption , 497 date place birth , 497 death , 497 Jiang Jieshi Chiang Kaishek "
1938,"late 1938 onward , GMD government , head Jiang base Chongqing Chungking Sichuan Szec hwan Provinc e , control southwest China  Japanese leader assume Jiang would sue peace end 1938 , Japanese leader frustration , Jiang refuse do  establish Jiang headquarters Xuzhou Hsuchow Jiangsu Province , engage Japanese Battle Xuzhou Taierzhuang TaiE rhChuang March 1938 "
1938,"Director Sergei Eisenstein anticipate come war Germany Joseph Stalin epic Alexander Nevsky 1938 obliquely depict Joseph Stalin dictatorship Joseph Stalin sprawl twopart Ivan errible 19441946  Following appeasement Germany Czechoslovakia Britain France September 1938 Munich Conference , Joseph Stalin begin reverse Russian foreign policy secure time rearm "
