,year,country,sentence
11,1944,Finland,"1944 , Soviet Army advance defeat Finland meant aircra ft played great role antishipping operation , German loss remain relatively light "
12,1944,Finland,"part ceasefire , conclude September 19 , 1944 , Finland expel intern German troop soil "
13,1944,Finland,"Although campaign virtually end November 1944 date establish ceasefire agreement Finnish demobilization , last German troop not depart Finland April 1945 "
14,1944,Finland,"Using asset , June 1944 Soviet begin advance Finland flank Lake Ladoga relatively narrow Karelian Leningrad front "
15,1944,Finland,"war end Finland October 15 , 1944 "
16,1944,Finland,Field Marshal Carl Gustav Emil von Mannerheim command Finnish force W orld W ar II president Finland 1944 1946 
17,1944,Finland,"accordance Septem ber 19 , 1944 , armistice end Finnish participation war , Finland help eject German force soil , Hitler refuse extract "
18,1944,Finland,lead retreat army Finland Norway command German force Norway December 1944 January 1945 
19,1944,France,"FalaiseAr gentan Pocket August 1944 Falkenhorst , Nikolaus von 18851968 FastAttack Craft Fechteler , William Morrow 18961967 Fedorenko , akov Nikolayevich 18961947 Fedyuninsky , Ivan Ivanovich 19001977 Fegen , Edward Stephen Fogarty 18911940 Feng uxiang 18821948 Fermi , Enrico 19011954 Festung Europa Fight Freedom 19401942 Film W ar Finland Finland , Air Force Finland , Army Navy FinnishSoviet W ar , First November 30 , 1939March 13 , 1940FinnishSoviet W ar , Second June 25 , 1941September 4 , 1944 Fiske , W illiam Billy Meade Lindsley , III 191 11940 Fitch , Aubrey W ray 18831978 Flamethrowers Fleet rain Fleischer , Carl Gustav 18831942 Fletcher , Frank Jack 18851973 Fluckey , Eugene Bennett 19132007 Flying igers Forbes , Sir Charles Morton 18801960 Force H Force K 1941 Forrestal , James V incent 18921949 Fort Drum , Manila Bay TITUDE , TH SOUTH , Operations 1944 Foulkes , Charles 19031969 Fourcade , MarieMadeleine Bridou 19091989 France France , Air Force France , Army France , Battle May 10June 25 , 1940 France , Navy France Campaign 1944 FrancoBahamonde , Francisco Paulino Hermenegildo edulo 18921975 FrancoThai W ar November 1940January 1941 Fraser , Bruce Austin 18881981 Fredendall , Lloyd Ralston 18831963 Frederick , Robert ryon 19071970 Free French Frenay , Henri 19051988 French Indochina Freyber g , Bernard Cyril 18891963 Frick , W ilhelm 18771946 Friedebur g , Hans Geor g von 18951945 Friessner , Johannes 18921971 Fritsch , W erner Thomas Ludwig von 18801939 Frogmen Fromm , Friedrich 18881945 Frost , John Dutton 19121993 Fuchida Mitsuo 19021976 Fukutome Shigeru 18911971 Fushimi Hiroyasu 18721946 Galland , Adolf Joseph Ferdinand 19121996 Gallery , Daniel V incent , Jr "
20,1944,France,"America n British force conduct series increasingly sophisticated large airborne operation North Africa , Sicily , Normandy , southern France , Operation MARKET GARDEN September 17 26 , 1944 , attempt cross Rhine Arnhem , Operation VARSITY March 24 , 1945 , final Rhine cross "
21,1944,France,airground team Western Allies European theater operation truly come summer 1944 Allied push across France 
22,1944,France,"take division France September 1944 , fought alongside beloved Big Red One "
23,1944,France,"successful effort best measure success Normandy landing Operations NEPTUNE OVERLORD June 6 , 1944 , place six division ashore less 24 hour nearly 1 million men equipment France less weeka phenomenal accom plishment.The subsequent August 15 , 1944 , landing southern France Operation DRAGOON not large , land few 250,000 troop , equally impressive , come two month Normandy landing , highlight Allies grow amphibious capacity "
25,1944,France,"July 1944 , Auboyneau direct 3rd Cruiser Division Operation DRAGOON , Allied invasion southern France "
26,1944,France,"AVALANCHE , Operation See Salerno Invasion Avon , First Earl See Eden , Sir Robert Anthony Avranches , Battle August 712 , 1944 Land battle France "
27,1944,France,"August 1944 , Bthouart command Corps French First Army invasion southern France , Vosges Mountains Alsace across Rhine far southern bank Danube "
28,1944,France,"July 1944 , Bittrich trans ferred Normandy front France appoint commander II SS Panzer Corps "
29,1944,France,"Brittany , Battle June 9 , 1944 Battle fought English Channel unit German Navy Allied navy June 9 , 1944 , three day initial Allied invasion France Operation OVERLORD "
30,1944,France,"Dece mber 1944 , Allies assume offensive south assist land craft longer need invasion France , center , China north "
31,1944,France,"division land Marseille , France , October 1944 fought difficultVosges Mountains Campaign include sustain winter siege assault Maginot fortress Bitche , win spectacular victory Heilbronn early 1945 press Stuttgart "
32,1944,France,"Canadian soldier receives attention medical orderly next burning overturn German tank amid heavy rubble , Allied force attempt trap German Seventh Army nearby Falaise , France , August 1944 "
33,1944,France,"Commandos forefront landing France Normandy June 1944 , take infantry role advanced inland , despite fact commando troop not line infantry special force "
34,1944,France,"KeystoneGetty Images joint YOU.S.Canadian brigade ized unit , 1st Special Service Force , know Devil Brigade , also take part Aleutian Islands Campaign 19421943 , fight Italy , August 1944 landing southern France "
35,1944,France,"1944 , Allied military success e France begin allow gradual reduction scope conv oying "
36,1944,France,"Initially , Allied commander not divert resource OVERLORD , June 6 , 1944 , invasion France , attack V1 launch site , within two week number V1s reach Britain force response "
37,1944,France,"peak , defense British Isles V1s include antiaircraft belt along coast 1,000 gun use new proximity fuze , 2,000 barrage balloon , 21 fighter squadrons.By September 1944 , Allie advance France push Germans beyond range V1s could reach Britain "
38,1944,France,"also use bombard direct fire June 1944 invasion Normandy , France , Operation OVERLORD "
39,1944,France,"command French troop June 1944 invasion Elba lead Free French First Army southern France Operation DRAGOON August 15 , 1944 "
40,1944,France,"January 1944 , Dempsey return Britain comm British Second Army , staff help develop OVERLORDplan invasion northe right France "
41,1944,France,"September 15 , 1944 , Devers finally receive combat command long sought 6th Army Group 23 division , consist Lieutenant General Alexander Patch Seventh Army General Jean de Lattre de Tassigny French First Army , invade southern France Operation DRAGOON "
42,1944,France,"early June 1944 , men expect poor weather condition would postpone Allied invasion France "
43,1944,France,"DRAGOON , Operation August 15 , 1944 Allied amphibious operation southern France "
44,1944,France,"Commencing August 15 , 1944 , Operation DRAGOON originally intend support coincide OVERLORD , June 6 , 1944 , invasion northern France , could not mount August 1944 "
45,1944,France,"leave Tehran , Allies commit mount OVERLORD support operation southern France May 1944 "
46,1944,France,"Allied invasion Normandy commenced June 6 , 1944 , France saw result imagi native Allied planning construction , principally YOU.S "
47,1944,France,"1944 , MI9 ran four different escape line France alone , return hundred Allied aircrew tremendous cost French Resistance "
48,1944,France,FalaiseArgentan Pocket August 1944 Failed attempt Allied force France trap significant portion retreat German force 
49,1944,France,"soldier pose front wreck German tank Chambois , France , last German stronghold Falaise Gap area , August 20 , 1944 "
50,1944,France,"continued run network house Chelsea July 1944 , return France "
51,1944,France,become French First Army land southern France August 1944 part Operation DRAGOON 
52,1944,France,France Campaign 1944 Allied campaign liberate France Axis control 
54,1944,France,"middle September 1944 France liberate , German force withdrawn Netherlands West Wall , along western German border "
55,1944,France,"July 1944 , Frederick take command 1st Airborne Task Force promotion major general follow next month , jumped Operation DRAGOON , August 15 , 1944 , invasion southern France "
56,1944,France,"August 15 , 1944 , become French First Army Major General Jean Marie Gabriel de Lattre de assigny land southern France part YOU.S "
57,1944,France,"Transferred France June 1944 , Hausser take command Seventh Army , defend Allied invasion Normandy June 6 "
58,1944,France,"Following Allied invasion France June 1944 , ship employ crossChannel transport rather provide onsite treatment wound "
59,1944,France,"late August 1944 , appar ently defeat German Army push France back border Reich "
60,1944,France,"ensure nervous friendly airdefense gunner ground ship would not shoot Allied plane crossChannel invasion France June 6 , 1944 , Allied planner decide forgo element camouflage "
61,1944,France,"Joint Chiefs Staff , however , far less convince believe Allied effort direct crossChannel invasion France , sanction spring 1944 "
62,1944,France,"Fifth Army alone incur 40,000 casualty , far exceed Germ loss , 50,000 men sick meanwhile , six experienced division withdrawn June 6 , 1944 , crossChannel invasion France , Operation OVERLORD "
63,1944,France,"1944 , nearly 2,000 Jewish resister France united form lOrganisation Juive de Combat Jewish Fighting Organization , support Allied military operat ion attack railway line German military installation ordnance factory "
64,1944,France,"1944 , Juin favor reinforce Allied troop Italy , General de Gaulle , head Fighting French governmentinexile , insist French participation schedule Allied landing southern France order Juin relinquish troop General Jean de Lattre de Tassigny purpose "
65,1944,France,"Aware would implicate conspiracy Hitler depressed military situation , Kluge commit suicide V almy , France , August 19 , 1944 "
66,1944,France,"availability land craft dictate timetable Allied amphib ious action , shortage preclude simultaneous landing northern France June 6 , 1944 , Operation OVERLORD southern France August 15 , 1944 , Operation ANVILDRAGOON "
68,1944,France,"end June 1944 , take command 3rd Military Region France , include Normandy "
69,1944,France,"En route new post , wife kill airplane passenger crashed near Grenoble , France , November 14 , 1944 "
70,1944,France,"camp aigns affected fuel shortage , Lieutenant General Geor ge Patton drive across France summer 1944 , Allies usually ample supply fuel occasional spot shortage , whereas major fuel shortage hinder Axis power throughout war "
71,1944,France,"Although Allied invasion France not take place June 6 , 1944 , buildu p invasi begin May 1942 "
72,1944,France,"ensure rapid delivery gasoline , Allies laid pipeline English Channel allow fuel pumped England Normandy , decant fivegall can pumped large storage tank pipeline could extend across France.Once Allied force ashore France , European theater Services Supply Commandknown June 1944 Communications Zone COMMZoversaw supply administration need YOU.S "
74,1944,France,"Lorraine Campaign September 1December 18 , 1944 , follow successful Allied breakout Normandy beachhead rapid pursuit retreat German force across France Meuse River July September 1944 "
75,1944,France,"American soldier inspect Maginot Line eastern France , 1944 "
76,1944,France,"Prior June 6 , 1944 , Normandy landing , Resistanc e unit throughout France , include Maquis , gather intelligence German disposition "
77,1944,France,"July 18 23 , 1944 , German force encircle wipe nearly 3,000 Maquisards natural defensive position Vercors Plateau southern France "
78,1944,France,"1944 campaign France , Germans retreat Allied advance trap behind enemy line willingly surrender British American force avoid ferocity Maquis "
79,1944,France,"Operation DRAGOON August 15 , 1944 , Americans French land south France "
80,1944,France,"return Brita assist planning June 6 , 1944 , Allied invasion ofNormandy , temporarily command ground force land General Dwight Eisenhower move headquarters France September "
81,1944,France,"Hull Eden affirmedthat OVERLORD , invasion northern France , would commence spring 1944 , although Eden share British prime minister Winston L"
82,1944,France,Mulberries Artificial harbor construct support Allied invasion France June 1944 
83,1944,France,Band leader Glenn Miller kill 1944 plane go English Channel en route performance France 
84,1944,France,"troop USO show France , October 1944 "
85,1944,France,"light cruiser Philadelphia fire support Allied land southern France , August 1944 "
86,1944,France,"Following traini ng , Eileen Nearne follow sister insert France British Lysander aircraft along another agent March 2 , 1944 "
87,1944,France,"Normandy Invasion DDay , June 6 , 1944 Campaign crossChannel invasion France "
88,1944,France,"Following capture Rome early June 1944 , 3rd Infantry Division one three American division select Seventh Army landing southern France August 15 "
89,1944,France,"Commanded Brigadefhrer Heinz Lammerding , Das Reich , one original WaffenSS division , transfer Eastern Front Montauban southern France early 1944 "
90,1944,France,"Panzer Division France , June 1944 "
91,1944,France,"OVERLORD , Operation , Planning Operation OVERLORD , invasion Normandy , France , June 6 , 1944 , Western Allies great operation World War II fine hour AngloAmerican cooperation "
92,1944,France,"August 15 , 1944 , Seventh Army invade southern France Operation DRAGOON "
93,1944,France,"Removed Germany Augu st 1944 , Ptain voluntarily return France April 1945 defend policy "
94,1944,France,"One prominent example value photoreconnaissance Allies come hundred thousand photograph France produce course 4,500 photoreconnaissance sortie flown week month lead June 6 , 1944 , Normandy Invasion "
95,1944,France,"design supply petroleum France follow Normandy Invasion June 6 , 1944 "
96,1944,France,"Commencing August 24 , 1944 , Red Ball Express massive road operation resup ply Allied force advance across France "
97,1944,France,"Johnson 783rd Military Police Battalion wave Red Ball Express motor convoy rush material forward area , near Alenon , France , September 5 , 1944 "
98,1944,France,"Resistance activity mount Vercors Plate au Alps eastern France provoke strong reaction form 20,000 German troop , June 1944 , decimate Vercors Maquis mount savage reprisal civilian population "
99,1944,France,"stand door command post Normandy , France , July 1944 "
100,1944,France,"also thought might time invasion possible , 1944 , Soviet Union might either driven war else victorious render unwilli ng cooperate Allied invasion France "
101,1944,France,"crossChannel invasion France postpone final incarnation , Operation OVERLORD , not occur June 6 , 1944 "
102,1944,France,"Ruins St.L , France , site fierce fight July 1944 YOU.S "
103,1944,France,"German Navy pettyofficer bomb disposal expe rt World War II , Stahls chmidt station Bordeaux , France , August 1944 superior order destroy extensive dock major port "
104,1944,France,"August 1944 , German leader Adolf Hitler direct accelerate program begin strengthen West Wall response Allied advance France , defense limited shortage troop , artillery , ammunition "
105,1944,France,Ninth Army become operational France singlecorps army 12th Army Group September 1944 
106,1944,France,"cross Channel invasion France , ultimately know Operation OVERLORD , not occur June 6 , 1944 "
107,1944,France,"August 1944 , Slovik sent France join 28th Infantry Division replacement "
108,1944,France,"France formally grantedSyria independence January 1 , 1944 , country remain AngloFrench occupation rest war "
109,1944,France,pleased W estern leader told invasion northern France Operation OVERLORD schedule May 1944 
110,1944,France,"Following liberation France , promote vice admiral December 1944 make chef dtat major general adjoint de la marine "
111,1944,France,"Allied drive France August 25 November 16 , 1944 , Red Ball Express haul 412,0 00 ton supply "
112,1944,France,"August 1944 , Vandenber g assume comma nd Ninth Air Force , cover advance Allied force across France Germany "
113,1944,France,"Vosges , Advance August 29September 15 , 1944 Allied campaign follow August 15 , 1944 , ANVILDRAGOON landing south ern France "
114,1944,France,"Americans relucta ntly agree invasion first Sicily Italy , insist crossChannel invasion France spring 1944 "
115,1944,France,"Wilson also help plan land Anzio Janu ary 22 , 1944 Operation DRAGOON , Allied land southern France August 15 , 1944 "
116,1944,France,"France 1944 Italy 1946 extend suffrage woman reward sacrifice , gain far "
117,1944,France,"British term advance unit guide main body destinationPHOTINT photographic intelligence PIAT British antitank weapon acronym projector , infantry , antitank PLUT Pipeline Ocean , refer Allied pipeline France English Channel put place June 1944 Normandy Invasion "
118,1944,France,", III , 841 date place birth , 626 education , 627as first secretary defense , 627 suicide , 627 undersecretary navy , 627 W orld W ar , 627 Fort Drum , Manila Bay , 627628 current status , 628 definition , 627 description , 627 effectiveness , 627 Japanese attack Corregidor , 627 surrender , 627 tar get , 627628 TITUDE , TH SOUTH , Operations 1944 , 628629 TITUDE , Operation , 474 TITUDE TH , Operation , 1230 TITUDE SOUTH , Operation , 1230 Foulkes , Charles 19031969 , 629630 2nd Canadian Infantry Division Normandy , 629 administrator , 630 date place birth , 629 death , 630 military command , 629630 military performance , 629 Fourcade , MarieMadeleine Bridou 19091989 , 630 Alliance , 630 code name , 630 date place birth , 630 death , 630 French resistance movement , 630 marriage , 630 Noah Ark , 630 postW orld W ar II , 630 recruitment , 630 sobriquet , 630 uniqueness , 630 Four Freedoms goal , 1000 , 1367 , 1398 France , 630634 143 "
119,1944,Singapore,"18961990 Sherman , Forrest Percival 18961951 Sherman , Frederick Carl 18881957 Shigemitsu Mamoru 18871957 Shimada Shigetaro 18831976 Shinano , IJN , Sinking November 29 , 1944 Ship Combat Information Center SH Plans Short , W alter Campbell 18801949Shtemenko , Ser gei Matveevich 19071976 Shumilov , Mikhail Stepanovich 18951975 Shuttle Bombing , Soviet Union JuneAugust 1944 Siberian Internment Japanese SICHELSCHNITT , Operation 1940 Sicily , Invasion July 9August 22 , 1943 Sicily , Strait Sidon , Engagement f June 9 , 1941 Siegfried Line , Breaking OctoberDecember 1944 Signals Intelligence Sikorski , Wadysaw Eugeniusz 18811943 Simonds , Guy Granville 19031974 Simovi , Duan 18821962 Simpson , W illiam Hood 18881980 Singapore , Battle February 815 , 1942 SinoJapanese W ar 19371945 Sirte , First Battle December 17 , 1941 Sirte , Second Battle March 22 , 1942 Sittang , Battle February 1823 , 1942 Sitzkrieg October 4 , 1939May 10 , 1940 Skerki Bank , Battle near December 2 , 1942 Skorzeny , Otto 19081975 SLEDGEHAMMER , Operation Slessor , Sir John Cotesworth 18971979 Slim , Sir W illiam Joseph 18911970 Slovik , Edward Donald 19201945 Smith , Holland McT yeire 18821967 Smith , Julian Constable 18851975 Smith , Ralph Corbett 18931998 Smith , W alter Bedell 18951961 Smolensk , Battle July 10August 5 , 1941 Smuts , Jan Christian 18701950 Snipers Snorkel Sokolovsky , Vasily Danilovich 18971968 Solomon Islands , Naval Campaign August 1942February 1943 Somalia Somervell , Brehon Burke 18921955 Somerville , Sir James Fownes 18821949 Sonar Song Zheyuan 18851940 Sopwith , Sir Thomas Octave Murdoch 18881989 Sorge , Richard 18951944 Sosabowski , Stanisaw 18921967 Sosnkowski , Kazimierz 18851969 South Africa , Union Southeast Pacific Theater Southwest Pacific TheaterSoviet Union Soviet Union , Air Force Soviet Union , Army Soviet Union , Navy Soviet W omen Combat W ings 19421945 Soviet W riters , Union Spaatz , Carl Andrew ooey 18911974 Spain Spanish Civil W ar 19361939 Spears , Sir Edward Louis 18861974 Special Operations Executive Speer , Albert 19051981 Speidel , Hans 18971984 Sperrle , Hugo W alter 18851953 Spitsber gen Sports Athletics Sprague , Clifton Albert Frederick 18961955 Sprague , Thomas Lamison 18941972 Spruance , Raymond Ames 18861969 Stalin , Joseph 18791953 Stalingrad , Battle August 23 , 1942February 2 , 1943 Standley , William Harrison 18721963 Stark , Harold Raynsford Betty 18801972 STARVATION , Operation March 27August 15 , 1945 Stauf fenber g , Claus Philipp Schenk von 19071944 Steiner , Felix 18961966 Steinhof f , Johannes 19131994 Stephen Hopkins versus Stier September 27 , 1942 Stephenson , Sir W illiam Samuel 18961989 Stettinius , Edward Reilly , Jr"
120,1944,Singapore,"Hagur also take part Battle Philippine Sea June 19 , 1944 Battle Leyte Gulf October 2325 , 1944 , sustain damage.Commanded Captain promote rear admiral May 1 , 1945 Sugiura Kaju December 1 , 1943 , Hagur way Singapore evacuate Japan ese garrison Andaman Islands company destroyer Kamikaze spot Malacca Strait May 16 , 1945 , attack Grumman TBF Avenger torpedo bomber escort carrier Shah , without effect "
121,1944,Somalia,"18961990 Sherman , Forrest Percival 18961951 Sherman , Frederick Carl 18881957 Shigemitsu Mamoru 18871957 Shimada Shigetaro 18831976 Shinano , IJN , Sinking November 29 , 1944 Ship Combat Information Center SH Plans Short , W alter Campbell 18801949Shtemenko , Ser gei Matveevich 19071976 Shumilov , Mikhail Stepanovich 18951975 Shuttle Bombing , Soviet Union JuneAugust 1944 Siberian Internment Japanese SICHELSCHNITT , Operation 1940 Sicily , Invasion July 9August 22 , 1943 Sicily , Strait Sidon , Engagement f June 9 , 1941 Siegfried Line , Breaking OctoberDecember 1944 Signals Intelligence Sikorski , Wadysaw Eugeniusz 18811943 Simonds , Guy Granville 19031974 Simovi , Duan 18821962 Simpson , W illiam Hood 18881980 Singapore , Battle February 815 , 1942 SinoJapanese W ar 19371945 Sirte , First Battle December 17 , 1941 Sirte , Second Battle March 22 , 1942 Sittang , Battle February 1823 , 1942 Sitzkrieg October 4 , 1939May 10 , 1940 Skerki Bank , Battle near December 2 , 1942 Skorzeny , Otto 19081975 SLEDGEHAMMER , Operation Slessor , Sir John Cotesworth 18971979 Slim , Sir W illiam Joseph 18911970 Slovik , Edward Donald 19201945 Smith , Holland McT yeire 18821967 Smith , Julian Constable 18851975 Smith , Ralph Corbett 18931998 Smith , W alter Bedell 18951961 Smolensk , Battle July 10August 5 , 1941 Smuts , Jan Christian 18701950 Snipers Snorkel Sokolovsky , Vasily Danilovich 18971968 Solomon Islands , Naval Campaign August 1942February 1943 Somalia Somervell , Brehon Burke 18921955 Somerville , Sir James Fownes 18821949 Sonar Song Zheyuan 18851940 Sopwith , Sir Thomas Octave Murdoch 18881989 Sorge , Richard 18951944 Sosabowski , Stanisaw 18921967 Sosnkowski , Kazimierz 18851969 South Africa , Union Southeast Pacific Theater Southwest Pacific TheaterSoviet Union Soviet Union , Air Force Soviet Union , Army Soviet Union , Navy Soviet W omen Combat W ings 19421945 Soviet W riters , Union Spaatz , Carl Andrew ooey 18911974 Spain Spanish Civil W ar 19361939 Spears , Sir Edward Louis 18861974 Special Operations Executive Speer , Albert 19051981 Speidel , Hans 18971984 Sperrle , Hugo W alter 18851953 Spitsber gen Sports Athletics Sprague , Clifton Albert Frederick 18961955 Sprague , Thomas Lamison 18941972 Spruance , Raymond Ames 18861969 Stalin , Joseph 18791953 Stalingrad , Battle August 23 , 1942February 2 , 1943 Standley , William Harrison 18721963 Stark , Harold Raynsford Betty 18801972 STARVATION , Operation March 27August 15 , 1945 Stauf fenber g , Claus Philipp Schenk von 19071944 Steiner , Felix 18961966 Steinhof f , Johannes 19131994 Stephen Hopkins versus Stier September 27 , 1942 Stephenson , Sir W illiam Samuel 18961989 Stettinius , Edward Reilly , Jr"
