date,sentence,lvl1
1945,"18821957 Browning , Frederick 18961965 B29 Raids Japan June 1944August 1945 Buckner , Simon Bolivar , Jr",relevant
1945,"18861945 Budapest , Battle November 3 , 1944February 13 , 1945 Budenny , Semen Mikhailovich 18831973 Bulgaria Bulgaria , Air Force Bulgaria , Navy Bull , Harold Roe 18931976 Bullitt , W illiam Christian , Jr ",relevant
1943,"18911967 Buna , Battle November 16 , 1942January 22 , 1943 Burke , Arleigh Albert 19011996 Burma Air Campaign 19411942 Burma Road Burma Theater 19411945 Burns , Eedson Louis Millard 18971985 Burress , W ithers Alexander Pinky 18941977 Busch , Ernst 18851945 Bush , V annevar 18901974 Bushido Byrnes , James Francis 18791972 Cairo Conference November 2326 December 37 , 1943 Calabria , Battle July 9 , 1940 Callaghan , Daniel Judson 18901942 CAM Ships Camm , Sir Sydney 18931966 Camouflage Campioni , Inigo 18781944 Canada Canada , Air Force Canada , Army Canada , Navy Canaris , W ilhelm Franz 18871945 Cape Bon , Battle December 13 , 1941 Cape Esperance , Battle October 1 112 , 1942 Cape Matapan , Battle March 28 , 1941 Cape Passero , Action f October 12 , 1940Cape Spada , Battle July 19 , 1940 Cape Spartivento , Battle November 27 , 1940 Cape St",relevant
1943,"Geor ge , Battle November 25 , 1943 Capra , Frank Russell 18971991 Carlson , Evans Fordyce 18961947 Carol II , King Romania 18931953 Caroline Islands Campaign February 15November 25 , 1944 Carpenter , Arthur Schuyler 18841960 Carpet Bombing Carton de W iart , Sir Adrian 18801963 Casablanca , Naval Battle November 81 1 , 1942 Casablanca Conference January 1424 , 1943 CashandCarry November 1939 CassinoRapido River , Battles 1944 Casualties CATAPUL , Operation July 1940 Catholic Church W ar Catroux , Geor ge Albert Julien 18771969 Caucasus Campaign July 22 , 1942February 1943 Cavagnari , Domenico 18761966 Cavallero , Ugo , Conte 18801943 Cavalry , Horse Celles , Battle December 2427 , 1944 Censorship Central Pacific Campaign Cephalonia Island Massacre September 1943 CERBERUS , Operation February 1 113 , 1942 Chaf fee , Adna Romanza , Jr ",relevant
1945,"18841941 Chamberlain , Arthur Neville 18691940 Channel Islands Campaign June 1944May 1945 Chaplains Charities Chemical W eapons W arfare Chen Cheng 18981965 Chennault , Claire Lee 18931958 Chen 19011972 Cherbour g , Capture June 1944 Chernyakhovsky , Ivan Danilovich 19061945 Cheshire , Geof frey Leonard 19171992 Chevallerie , Kurt von der 18911945 Children W ar China China , Air Force China , Army China , Navy ChinaBurmaIndia Theater Chindits Chir River , Battles December 722 , 1942Cho Isamu 18951945 Choltitz , Dietrich von 18941966 Christian X , King Denmark 18701947 Christie , John W alter 18651944 Christie , Ralph W aldo 18931987 Chuikov , Vasily Ivanovich 19001982 Churchill , Sir W inston L",relevant
1944,"18741965 ChurchillStalin Meeting October 910 , 1944 Chynoweth , Bradford Grethen 18901985 Ciano , Galeazzo , Conte di Cortellazo 19031944 Ciliax , Otto 18911964 Clark , Mark W ayne 18961984 Clark Field , Japanese Raid December 8 , 1941 Clay , Lucius DuBignon 18971978 CLA YMORE , Operation March 4 , 1941 Coastal Defense COBRA , Operation July 2531 , 1944 Cochran , Jacqueline 19061980 COCKLESHELL , Operation December 612 , 1942 Code alkers Collaboration Collins , Joseph Lawton Lightning Joe 18961987 Collishaw , Raymond 18931976 Colmar Pocket , Battle January 20February 9 , 1945 Combat Fatigue Combined Bomber fensive June 10 , 1943April 1945 Combined Chiefs Staf f Commando Order October 18 , 1942 CommandosRangers Commerce Raiders , Surface , German Commissar Order June 6 , 1941 Committee Defend America Aiding Allies COMP ASS , Operation December 7 , 1940February 7 , 1941 Concentration Camps , German 19331945 Coningham , Sir Arthur Mary 18951948 Connally , Thomas erry 18771963 Conolly , Richard Lansing 18921962 Conscientious Objectors Conscript Labor ContreT orpilleurs Convoy HG76 Battle f Portugal December 1423 , 1941 Convoy PQ 13 , Attack March 29 , 1942 Convoy PQ 17 June 27July 7 , 1942 Convoy PQ18 , Battle September 1221 , 1942 Convoy QP 1 1 , Attack May 12 , 1942 Convoys , Allied Convoys , Axis Convoys SC7 HX79 , Battles North Channel October 1620 , 1940Convoys SC 122 HX 229 , Battle March 1420 , 1943 Coral Sea , Battle May 78 , 1942 Corap , Andr Geor ge 18791953 CORKSCREW , Operation June 1 1 , 1943 Cornell , Julien Davies 19101994 Cornioley , Cecile Pearl W itherington 19142008 Corregidor , Battle AprilMay 1942 Corsica , Recapture September 8October 4 , 1943 Corvettes Sloops Cota , Norman Daniel Dutch 18931971 Counterintelligence Crace , Sir John Gregory 18871968 Craig , Malin 18751945 Crerar , Henry Duncan Graham 18881965 Crete , Battle May 2June 1 , 1941 Crimea Campaign AprilMay 1944 Cripps , Sir Richard Staf ford 18891952 Croatia CROSSBOW , Operation November 1943May 1945 Cruisers CRUSADER , Operation November 18December 30 , 1941 Crutchley , Sir V ictor Alexander Charles 18931986 Cunningham , Sir Alan Gordon 18871983 Cunningham , Sir Andrew Browne 18831963 Cunningham , Sir John Henry Dacres 18851962 Cunningham , W infield Scott 19001986 Currie , Lauchlin 19021993 Curtin , John Joseph 18851945 Curzon Line Czechoslovakia Dai Li 18961946 Dakar , Attack September 2325 , 1940 Daladier , douard 18841970 Darby , William Orlando 191 11945 Darlan , Jean Louis Xavier Franois 18811942 Darwin , Raid February 19 , 1942 Davis , Benjamin Oliver , Jr",relevant
1945,"18771970 Da Zara , Alberto 18891951 De Bono , Emilio 18661944 Deception Declaration Liberated Europe February 1945 de Courten , Raf faele 18881978 Decoy Ships Defensively Equipped Merchant Ships de Gaulle , Charles 18901970 Degrelle , Lon 19061993De Guingand , Sir Francis W ilfred 19001979 De Havilland , Sir Geof frey 18821965 De Lattre de assigny , Jean Joseph Marie Gabriel 18891952 Delestraint , Charles Geor ge Antoine 18791945 Del V alle , Pedro Augusto 18931978 Dempsey , Miles Christopher 18961969 Demyansk Pocket February 8 , 1942February 28 , 1943 Denmark Denmark Campaign April 9 , 1940 Dentz , Henri Fernand 18811945 Depth Char ge Destroyer Escorts Frigates Destroyers Destroyersfor Bases Agreement September 2 , 1940 Devereux , James Patrick Sinnott 19031988 Devers , Jacob Loucks 18871979 Dewey , Thomas Edmund 19021971 Dhistomo Massacre June 10 , 1944 DigoSuarez , Battle March 57 , 1942 DigoSuarez , Japanese Raid May 30 , 1942 Dieppe Raid August 19 , 1942 Dietl , Eduard 18901944 Dietrich , Josef Sepp 18921966 Dill , Sir John Greer 18811944 Displaced Persons Dixie Mission anan July 1944March 1947 Dodecanese Islands Campaign SeptemberNovember 1943 Doihara Kenji 18831948 Dollman , Friedrich 18821944 Dnitz , Karl 18911980 Donovan , W illiam Joseph 18831959 Doolittle , James Harold Jimmy 18961993 Doorman , Karel W illem Marie 18891942 DormanSmith , Eric Chink 18951969 Dornber ger , Walter Robert 18951980 Douglas , W illiam Sholto 18931969 Douhet , Giulio 18691930 Dowding , Sir Hugh Caswall remenheere 18821970 DOWNF , Operation DRAGOON , Operation August 15 , 1944 Dresden , Air Attack February 1315 , 1945 Driscoll , Agnes Meyer 18891971 Drum , Hugh Aloysius 18791951 Dulles , Allen W elsh 18931969 Dumbarton Oaks Conference August 21October 7 , 1944 Dunkerque , Evacuation May 26June 4 , 1940 Eaker , Ira Clarence 18961987East Africa Campaign JanuaryMay 1941 Eastern Front Eastern Solomons , Battle August 2225 , 1942 Eben Emael , German Capture May 101 1 , 1940 Eberstadt , Ferdinand 18901969 Eden , Sir Robert Anthony 18971977 Egypt Eichelber ger , Robert Lawrence 18861961 Eichmann , Karl Adolf 19061962 Eicke , Theodor 18921943 Einsatzgruppen Einstein , Albert 18791955 Eisenhower , Dwight David 18901969 El Alamein , Battle October 23November 4 , 1942 Elba , Recapture June 1718 , 1944 Electronic Intelligence El Guettar , Battle March 23April 7 , 1943 Ellis , Earl Hancock Pete 18801923 Emilia Plater Independent W omen Battalion 19431945 Empress Augusta Bay , Battle November 2 , 1943 Engineer Operations England , YOU.S ",relevant
1722,"Navy Destroyer Escort English Channel Enigma Machine Eniwetok , Capture February 1722 , 1944 Escape Evasion Essex Class , YOU.S ",relevant
1944,"FalaiseAr gentan Pocket August 1944 Falkenhorst , Nikolaus von 18851968 FastAttack Craft Fechteler , William Morrow 18961967 Fedorenko , akov Nikolayevich 18961947 Fedyuninsky , Ivan Ivanovich 19001977 Fegen , Edward Stephen Fogarty 18911940 Feng uxiang 18821948 Fermi , Enrico 19011954 Festung Europa Fight Freedom 19401942 Film W ar Finland Finland , Air Force Finland , Army Navy FinnishSoviet W ar , First November 30 , 1939March 13 , 1940FinnishSoviet W ar , Second June 25 , 1941September 4 , 1944 Fiske , W illiam Billy Meade Lindsley , III 191 11940 Fitch , Aubrey W ray 18831978 Flamethrowers Fleet rain Fleischer , Carl Gustav 18831942 Fletcher , Frank Jack 18851973 Fluckey , Eugene Bennett 19132007 Flying igers Forbes , Sir Charles Morton 18801960 Force H Force K 1941 Forrestal , James V incent 18921949 Fort Drum , Manila Bay TITUDE , TH SOUTH , Operations 1944 Foulkes , Charles 19031969 Fourcade , MarieMadeleine Bridou 19091989 France France , Air Force France , Army France , Battle May 10June 25 , 1940 France , Navy France Campaign 1944 FrancoBahamonde , Francisco Paulino Hermenegildo edulo 18921975 FrancoThai W ar November 1940January 1941 Fraser , Bruce Austin 18881981 Fredendall , Lloyd Ralston 18831963 Frederick , Robert ryon 19071970 Free French Frenay , Henri 19051988 French Indochina Freyber g , Bernard Cyril 18891963 Frick , W ilhelm 18771946 Friedebur g , Hans Geor g von 18951945 Friessner , Johannes 18921971 Fritsch , W erner Thomas Ludwig von 18801939 Frogmen Fromm , Friedrich 18881945 Frost , John Dutton 19121993 Fuchida Mitsuo 19021976 Fukutome Shigeru 18911971 Fushimi Hiroyasu 18721946 Galland , Adolf Joseph Ferdinand 19121996 Gallery , Daniel V incent , Jr ",relevant
1942,"19011977 Gamelin , Maurice Gustave 18721958 Gandhi , Mohandas Karamchand 18691948 Garand , John Cantius 18831967Gavin , James Maurice 19071990 Gazala , Battle May 26June 13 , 1942 Gehlen , Reinhard 19021979 Geiger , Roy Stanley 18851947 Genda Minoru 19041989 Geor ge II , King Greece 18901947 Geor ge VI , King England 18951952 Geor ge , Alphonse Joseph 18751951 German Armed Merchant Ship Commerce Raiders GermanSoviet Peace Feelers Germany Germany , Air Force Germany , Army Germany , Collapse MarchMay 1945 Germany , Navy Germany , Postwar Occupation Germany , Surrender May 8 , 1945 Gerow , Leonard ownsend 18881972 Gervais de LaFond , Raymondmile 18901968 Ghormley , Robert Lee 18831958 Gibbs , W illiam Francis 18861967 GI Bill Rights Gibraltar Gibraltar , Strait Gibson , Guy Penrose 19181944 Giffen , Robert Carlisle Ike 18861962 Gilbert Islands Campaign November 1943 Giraud , Henri Honor 18791949 Glide Bombs Glubb , Sir John Bagot 18971986 Godfrey , John Henry 18881971 Godfroy , Ren mile 18851981 Goebbels , Paul Joseph 18971945 Goerdeler , Carl Friedrich 18841945 Golikov , Filip Ivanovich 19001980 GOODWOOD , Operation July 1820 , 1944 Gring , Hermann W ilhelm 18931946 Gorshkov , Sergei Geor gievich 19101988 Gott , W illiam Henry Ewart Strafer 18971942 Govorov , Leonid Aleksandrovich 18971955 Graziani , Rodolfo , Marchese di Neghelli 18821955 Great Britain Great Britain , Air Force Great Britain , Army Great Britain , Auxiliary erritorial Service Great Britain , Navy Great Britain , W omen Auxiliary Air Force Great Britain , W omen Land ArmyGreat Britain , W omen Royal Naval Service Greater East Asia Conference November 56 , 1943 Great Pur ge Grechko , Andrei Antonovich 19031976 Greece Greece , Air Force Greece , Army Greece , Navy Greece Campaign , German April 630 , 1941 Greece Campaign , Italian October 28 , 1940March 1941 Greer , Attack September 4 , 1941 Greim , Robert Ritter von 18921945 Grew , Joseph Clark 18801965 Griswold , Oscar W oolverton 18861959 Grizodubova , V alentina Stepanovna 19091993 Groves , Leslie Richard 18961970 Guadalcanal Land Campaign August 1942February 1943 Guadalcanal Naval Campaign August 1942February 1943 Guam , Battle July 21August 10 , 1944 Guandong Army Guderian , Heinz 18881953 Guernica , Kondor Legion Attack April 26 , 1937 Guisan , Henri 18741960 Gustav Gun Gyro Gun Sight Haakon VII , King Norway 18721957 Hagur , Japanese Navy Cruiser , Sinking May 16 , 1945 Haile Selassie , Emperor Ethiopia 18921975 Halder , Franz 18841972 Hall , Charles Philip 18861953 Halsey , William Frederick , Jr ",relevant
1943,"18821959 Hambur g , Raids July 24August 3 , 1943 Hanaya adashi 18941957 Hand Grenades Harmon , Ernest Nason 18941979 Harpe , Josef 18871968 Harriman , W illiam verell 18911986 Harris , Sir Arthur raver 18921984 Hart , Thomas Charles 18771971 Hartmann , Erich Alfred 19221993 Harwood , Sir Henry 18881950 Hasbrouck , Robert W ilson 18961985 Hasegawa Kiyoshi 18831970 Hashimoto Kingoro 18901957 Hashimoto Mochitsura 19092000 Hata Shunroku 18791962 Haushofer , Karl Ernst 18691946Hausser , Paul Papa 18801972 Hazelhof f Roelfzema , Erik 19172007 Hedgehog Heinrichs , Axel Erik 18901965 Heinrici , Gotthard 18861971 Heisenber g , Werner 19011976 Helicopters Hell Ships 19441945 Long 18961969 Hermann , HansJoachim Hajo 19132010 Hershey , Lewis Blaine 18931977 Hess , W alter Richard Rudolf 18941987 Hewitt , Henry Kent 18871972 Heydrich , Reinhard ristan Eugen 19041942 ingqin 18901987 Higashikuni Naruhiko , Prince Japan 18871990 Higgins , Andrew Jackson 18861952 Higuchi Kiichiro 18881970 Himmler , Heinrich 19001945 Hirohito , Emperor Japan 19011989 Hiroshima , Bombing August 6 , 1945 Hirota Kki 18781948 Hitler , Adolf 18891945 Hitler Franco Meeting Hendaye October 23 , 1940 Hitler outh Hobart , Sir Percy Cleghorn Stanley 18851957 Hobby , Oveta Culp 19051995 Ho Chi Minh 18901969 Hodges , Courtney Hicks 18871966 Hoepner , Erich 18861944 Hoge , W illiam Morris 18941979 Holcomb , Thomas 18791965 Holland , Lancelot Ernest 18871941 Hollandia , Battle April 2226 , 1944 Holocaust Homma Masaharu 18871946 Honda Masaki 18891964 Hong Kong , Battle December 825 , 1941 Hopkins , Harry Lloyd 18901946 HoreBelisha , Isaac Leslie 18931957 Hori Eizo 19131995 Horii omitaro 18901942 Horrocks , Sir Brian Gwynne 18951985 Horthy de Nagybnya , Mikls 18681957 Horton , Sir Max Kennedy 18831951 Hosogaya Boshiro 18881964 Hospital Ships Hossbach , Friedrich 18941980Hoth , Hermann 18851971 Hull , Cordell 18711955 Human orpedoes Hump , Hungary Hungary , Air Force Hungary , Army Hunter , Charles Newton 19061978 Hunter Killer Groups Huntziger , Charles Lon Clment 18801941 Hrtgen Forest Campaign September 12December 16 , 1944 Hu Zongnan 18961962 Hyakutake Haruyoshi 18881947 Iachino , Angelo 18891976 Iba Field , Attack December 8 , 1941 ICHIGO , Operation AprilDecember 1944 Ichiki Kiyonao 18921942 Ichimaru Rinosuke 18911945 Identification , Friend Foe I400Class Japanese Submarines Iida Shjir 18881975 Ijuin Matsuji 18931944 Ilyushin , Ser gei Vladimirovich 18941977 Imamura Hitoshi 18861968 Imphal Kohima , Sieges MarchJuly 1944 Incendiary Bombs Bombing India India , Army India , Navy Indianapolis , Sinking July 30August 2 , 1945 Indian Ocean Campaign MarchMay 1942 Infantry actics Ingersoll , Royal Eason 18831976 Ingram , Jonas Howard 18861952 Inland Sea , YOU.S ",relevant
1945,"British Carrier Operations July 1945 Inouye Shigeyoshi 18891975 International Military ribunal , Far East International Military ribunal , Nurember g Trials October 16 , 1945November 20 , 1946 IowaClass YOU.S ",relevant
1942,"Navy Battleships Iran Iraq Ireland IRONCLAD , Operation May 5 , 1942 Ironside , Sir W illiam Edmund 18801959 Ishiwara Kanji 18891949 Ismay , Hastings Lionel 18871965 Isogai Rensuke 18831967Itagaki Seishir 18851948 Italian Social Republic , Navy ItaloEthiopian W ar 19351936 Italy Italy , Air Force Italy , Army Italy , Navy Italy Campaign 19431945 Seiichi 18901945 Iwabuchi Sanji 18931945 Iwakuro Hideo 18971970 Iwo Jima , Battle February 19March 26 , 1945 Jny , Gusztv 18831947 Japan Japan , Air Forces Japan , Army Japan , Navy Japan , Occupation Japan , Surrender August 15 , 1945 Japanese Americans JapaneseSoviet Neutrality Act April 13 , 1941 Japanese Surrendered Personnel Java Sea , Battle February 27 , 1942 Jeep Jeschonnek , Hans 18991943 Jewish Resistance Jiang Jieshi 18871975 Jodl , Alfred 18901946 Joint Chiefs Staf f Journalism W ar Juin , Alphonse Pierre 18881967 July Bomb Plot July 20 , 1944 Kaiser , Henry John 18821967 Kaitens Kalinin , Recapture December 15 , 1941 Kaltenbrunner , Ernst 19031946 Kaluga , Battle December 2630 , 1941 Kamikaze Kammhuber , Josef 18961986 Kanin Kotohito , Prince 18641945 Kasserine Pass , Battle February 1422 , 1943 Kato akeo 19031942 Katyn Forest Massacre 1940 Kawabe Masakazu 18861965 Kawabe orashir 18901960 Kawaguchi Kiyotake 18921961Kearny , USS , orpedoing October 17 , 1941 Keitel , W ilhelm 18821946 KelloggBriand Pact August 27 , 1928 Kennedy , Joseph Patrick , Sr ",relevant
1939,"18881969 Kenney , Geor ge Churchill 18891977 Kerr , Philip Henry 18821940 Kesselring , Albert 18851960 Keyes , Geof frey 18881967 Keyes , Roger John Brownlow 18721945 Khalkhin Gol , Battle MaySeptember 1939 Kharkov , Battles 19411943 Kholm Pocket January 23May 5 , 1942 Khozin , Mikhail Semenovich 18961979 Kiev Pocket , Battle August 21September 26 , 1941 Kikkawa Kiyoshi 19001943 Kimmel , Husband Edward 18821968 Kimura Heitaro 18881948 Kimura Masatomi 18911960 King , Edward Postell , Jr ",relevant
